▁Wir ▁konnten ▁R it a ▁also ▁an r ufen , ▁das ▁Video ▁ab kl ären , ▁sicher gehen , ▁dass ▁es ▁gef il mt ▁wurde , ▁und ▁unsere ▁Kl ient en ▁waren ▁begeist ert , ▁weil ▁sie ▁es ▁ohne ▁S orgen ▁aus stra hlen ▁konnten .	▁So ▁we ▁were ▁able ▁to ▁call ▁R it a , ▁clear ▁the ▁video , ▁make ▁sure ▁that ▁it ▁had ▁been ▁shot , ▁and ▁then ▁our ▁cl ients ▁were ▁del igh ted ▁because ▁they ▁were ▁able ▁to ▁run ▁it ▁without ▁being ▁wor ried .
▁Seit dem ▁habe ▁ich ▁nie ▁wieder ▁zurück gesch aut .	▁S ince ▁then , ▁I ' ve ▁never ▁looked ▁back .
▁Sie ▁k op iert ▁sich ▁nun ▁und ▁ver teilt ▁die ▁Vor lage ▁im ▁Ozean .	▁So , ▁it ▁cop ies ▁itself ▁and ▁sc atter s ▁the ▁tem pl ates ▁through ▁the ▁ocean .
▁E ig entlich ▁tat ▁ich ▁das ▁zuerst , ▁in ▁einer ▁vier ▁Tage ▁langen ▁sehr ▁intens iven ▁Daten an aly se , ▁in ▁der ▁ich ▁zurück sch aute , ▁und ▁jene ▁Inter view s , ▁jene ▁Geschichten ▁und ▁jene ▁Be geben heiten ▁heraus f isch te .	▁In ▁fact , ▁I ▁did ▁it ▁first ▁in ▁a ▁four - day , ▁very ▁intens ive ▁data ▁analys is , ▁where ▁I ▁went ▁back , ▁pull ed ▁the ▁interview s , ▁the ▁stories , ▁pull ed ▁the ▁inc id ents .
▁Schw anger schaften ▁sollen ▁glück liche ▁und ▁erfü llen de ▁M omen te ▁sein ▁im ▁Leben ▁jeder ▁Frau .	▁Pre gn anc ies ▁are ▁meant ▁to ▁be ▁happy ▁and ▁f ulf ill ing ▁mom ents ▁in ▁any ▁woman ' s ▁life .
▁Kre u zen ▁Sie ▁den ▁K as ten ▁unten ▁an , ▁wenn ▁Sie ▁am ▁Or g ans pen de ▁Programm ▁teil nehmen ▁möchten .	▁" C he ck ▁the ▁box ▁below ▁if ▁you ▁want ▁to ▁particip ate ▁in ▁the ▁organ ▁don or ▁program ."
▁♫ ▁in ▁der ▁B ucht ▁ge fl o hen ▁♫ ▁♫ ▁mit ▁dem ▁ro th a ar igen ▁Sohn ▁♫ ▁♫ ▁des ▁Haus me ist ers ▁♫ ▁♫ ▁mit ▁dem ▁ro th a ar igen ▁Sohn ▁des ▁Haus me ist ers ▁♫ ▁♫ ▁mit ▁dem ▁ro th a ar igen ▁Sohn ▁des ▁Haus me ist ers ▁♫ ▁♫ ▁mit ▁dem ▁ro th a ar igen ▁Sohn ▁des ▁Haus me ist ers ▁♫ ▁♫ ▁mit ▁dem ▁ro th a ar igen ▁Sohn ▁des ▁Haus me ist ers ▁♫ ▁♫ ▁Ich ▁werde ▁weg se g eln ▁♫ ▁♫ ▁in ▁die ▁She ep s head ▁B ay ▁♫ ▁♫ ▁mit ▁dem ▁ro th a ar igen ▁Sohn ▁des ▁Haus me ist ers ▁♫ ▁♫ ▁auf ▁einem ▁alten ▁So f a ▁♫	▁in ▁the ▁b ay ▁♫ ▁♫ ▁With ▁my ▁j an itor ' s ▁red ▁ha ired - b oy ." ▁♫ ▁♫ ▁The ▁j an itor ' s ▁red - ha ired ▁boy ▁♫ ▁♫ ▁The ▁j an itor ' s ▁red - ha ired ▁boy ▁♫ ▁♫ ▁The ▁j an itor ' s ▁red - ha ired ▁boy ▁♫ ▁♫ ▁The ▁j an itor ' s ▁red - ha ired ▁boy ▁♫ ▁♫ ▁I ' m ▁going ▁to ▁sa il ▁away ▁♫ ▁♫ ▁G one ▁to ▁She ep s head ▁B ay ▁♫ ▁♫ ▁With ▁my ▁j an itor ' s ▁red - ha ired ▁boy . ▁♫ ▁♫ ▁On ▁an ▁old ▁set te e ▁♫
▁Er ▁hat ▁tatsächlich ▁... ▁Es ▁gibt ▁eine ▁Geschichte , ▁dass , ▁als ▁er ▁schw immen ▁lernen ▁wollte , ▁ein ▁Buch ▁las ▁- ▁eine ▁Ab hand lung ▁über ▁Schw immen ▁- ▁und ▁ansch ließ end ▁ins ▁Meer ▁sp r ang .	▁He , ▁in ▁fact ▁-- ▁there ▁is ▁a ▁story ▁that ▁when ▁he ▁wanted ▁to ▁learn ▁how ▁to ▁sw im , ▁he ▁read ▁a ▁book , ▁a ▁treat ise ▁on ▁sw imm ing ▁-- ▁-- ▁then ▁do ve ▁into ▁the ▁ocean .
▁Ich ▁war ▁auf ▁der ▁Online - B i ograf ie ▁aufge führt , ▁die ▁mich ▁als ▁Design - M ission ar ▁be zeich nete .	▁I ▁was ▁list ed ▁on ▁the ▁online ▁bi ography ▁that ▁said ▁I ▁was ▁a ▁design ▁mission ary .
▁Der ▁zweite ▁große ▁Unterschied ▁in ▁I N C R A s ▁Vor gehen sweise ▁wäre ▁die ▁Be ur teilung ▁von ▁Länder r is iken ▁an hand ▁eines ▁bre it eren ▁Sp ekt rum s ▁an ▁Ind ik at oren .	▁The ▁second ▁big ▁difference ▁that ▁I N C R A ▁would ▁make ▁is ▁that ▁would ▁it ▁base ▁its ▁so v ere ign ▁risk ▁ass ess ment ▁on ▁a ▁bro a der ▁set ▁of ▁ind ic ators .
